Month,Return_Pct,Net_Profit_INR
2023-07,-41.58491262834655,-24950.94757700793
2023-08,-43.66870548296763,-15284.812773355341
2023-09,-42.554070635543404,-7987.155369639266
2023-10,-41.67865592855097,-4492.261965109628
2023-11,-34.06692584780373,-2100.106129169606
2023-12,-28.230413806743975,-1098.1877710300305
2024-01,-34.79370165806902,-948.8021768844228
2024-02,-38.86346212367548,-676.9793712327873
2024-03,-48.99092588842218,-534.3033648475996
2024-04,-30.14946872046999,-171.48977224719965
2024-05,-41.66211363637212,-163.77521217439823
2024-06,-12.818444842085663,-27.850709239999787
2024-07,0.0,0.0
2024-08,0.0,0.0
2024-09,0.0,0.0
2024-10,-14.253702376190649,-26.99934437999991
2024-11,-6.497187058043679,-10.552765310399877
2024-12,-6.00621409539176,-9.121502770799793
2025-01,-2.9082791083577137,-4.151459559200475
2025-02,-7.359578353602203,-10.199992683600044
2025-03,0.0,0.0
2025-04,-1.0968306155068708,-1.3240972860002103
2025-05,0.0,0.0
2025-06,0.0,0.0
2025-07,0.0,0.0
2025-08,0.0,0.0
2025-09,0.0,0.0
2025-10,-7.329169762952269,-8.75075089840027
2025-11,-34.68642706190617,-36.36010620399958
2025-12,-1.4738614252321844,-1.0090801680000254
2026-01,-2.485918804581447,-1.676900986799808
2026-02,0.0,0.0
2026-03,-9.254328584483902,-6.0874124659999325
2026-04,-0.5338765965855786,-0.31548023919998514
2026-05,0.0,0.0
2026-06,0.0,0.0
2026-07,0.0,0.0
