Metric,Value
Total Trades,1124.0
Winning Trades,398.0
Losing Trades,726.0
Win Rate,35.40925266903915
Gross Profit,23734.22723841998
Gross Loss,-83675.45036637818
Net Profit,-59941.223127958205
Average Winner,59.63373677994969
Average Loser,-115.25544127600303
Profit Factor,0.2836462443225365
Maximum Drawdown,99.90203854659705
CAGR,-90.08411610581267
Average Holding Time,50.37811387900356
Largest Winner,1574.7994902536
Largest Loser,-3382.120645715182
