Metric,Value
Total Trades,773.0
Winning Trades,274.0
Losing Trades,499.0
Win Rate,35.44631306597672
Gross Profit,50175.35775787392
Gross Loss,-109429.2587104123
Net Profit,-59253.90095253838
Average Winner,183.1217436418756
Average Loser,-219.29711164411282
Profit Factor,0.45851866629797144
Maximum Drawdown,98.76833596229241
CAGR,-76.73422777544943
Average Holding Time,19.928848641655886
Largest Winner,2315.25638638599
Largest Loser,-3167.6897328880113
