Month,Return_Pct,Net_Profit_INR
2023-07,-2.745996900178628,-1647.5981401071767
2023-08,-19.29680130667274,-11367.75375612732
2023-09,-6.282096727811627,-2986.6525346517446
2023-10,-7.711612863718491,-3435.9581355471455
2023-11,-1.3111594226142163,-543.2563955073128
2023-12,-3.375376257534147,-1341.065369636839
2024-01,-16.765307645314085,-6119.072942414059
2024-02,11.171268810435844,3374.279693707271
2024-03,-6.223094081219966,-2089.66902488732
2024-04,-8.454139303981355,-2662.17400046729
2024-05,-23.17669157465354,-6681.241831424079
2024-06,-5.684493186128544,-1240.368280643117
2024-07,-13.843749191825877,-2849.021501213603
2024-08,-13.224379599502475,-2343.7376731175755
2024-09,-15.908622373432824,-2446.6057625136455
2024-10,2.828396547922946,349.55065215598734
2024-11,-16.156657742624027,-2044.7880776400052
2024-12,-15.97242502543491,-1656.692482674378
2025-01,-23.577332110136247,-2054.8850590607763
2025-02,-23.232183315190362,-1535.2859510803937
2025-03,-9.17200213946927,-456.5915620328051
2025-04,4.197652294214853,188.66627514719949
2025-05,0.38437624410781324,17.611390352787566
2025-06,-18.361290539653105,-821.6379121300197
2025-07,-15.392163084757588,-562.3064363460144
2025-08,-8.784098065190529,-270.8488118588011
2025-09,-12.368200313816889,-339.96998770719256
2025-10,-6.351982187235676,-154.71392399198885
2025-11,-15.783112782216161,-363.4145685591993
2025-12,-12.243997572396873,-236.61270352480733
2026-01,-0.49058843864727897,-8.319724853999105
2026-02,-14.941835220951555,-249.1336557415907
2026-03,-29.273430889213824,-396.3273603343978
2026-04,-7.058035027242944,-65.84450516839888
2026-05,-11.03987447732541,-96.14354162879818
2026-06,-2.1910682563663855,-16.866950051598906
2026-07,0.23956476929778625,1.8112892904005093
