symbol,security_id
LTM,17818
LTTS,18564
LUPIN,10440
M&M,2031
M&MFIN,13285
MAHABANK,11377
MANAPPURAM,19061
MANKIND,15380
MAPMYINDIA,7227
MARICO,4067
MARUTI,10999
MAXHEALTH,22377
MAZDOCK,509
MCX,31181
MEDANTA,11956
MEESHO,760229
MFSL,2142
MGL,17534
MINDACORP,25897
MMTC,17957
MOTHERSON,4204
MOTILALOFS,14947
MPHASIS,4503
MRF,2277
MRPL,2283
MSUMI,8596
MUTHOOTFIN,23650
NAM-INDIA,357
NATCOPHARM,3918
NATIONALUM,6364
NAUKRI,13751
NAVA,4014
NAVINFLUOR,14672
NBCC,31415
NCC,2319
NESTLEIND,17963
NETWEB,17433
NEULANDLAB,2406
NEWGEN,1164
NH,11840
NHPC,17400
NIACL,399
NIVABUPA,27097
NLCINDIA,8585
NMDC,15332
NSLNISP,14180
NTPC,11630
NTPCGREEN,27176
NUVAMA,18721
NUVOCO,5426
