symbol,security_id
ITI,1675
J&KBANK,5633
JAINREC,759244
JBCHEPHARM,1726
JBMA,11655
JINDALSAW,3024
JINDALSTEL,6733
JIOFIN,18143
JKCEMENT,13270
JKTYRE,14435
JMFINANCIL,13637
JPPOWER,11763
JSL,11236
JSWCEMENT,758460
JSWDULUX,1467
JSWENERGY,17869
JSWINFRA,19020
JSWSTEEL,11723
JUBLFOOD,18096
JUBLINGREA,2783
JUBLPHARMA,3637
JWL,20224
JYOTICNC,21334
KAJARIACER,1808
KALYANKJIL,2955
KARURVYSYA,1838
KAYNES,12092
KEC,13260
KEI,13310
KFINTECH,13359
KIMS,4847
KIRLOSENG,20936
KOTAKBANK,1922
KPIL,1814
KPITTECH,9683
KPRMILL,14912
LALPATHLAB,11654
LATENTVIEW,6818
LAURUSLABS,19234
LEMONTREE,2606
LENSKART,759605
LGEINDIA,760213
LICHSGFIN,1997
LICI,9480
LINDEINDIA,1627
LLOYDSME,17313
LODHA,3220
LT,11483
LTF,24948
LTFOODS,13816
