symbol,security_id
RVNL,9552
SAGILITY,27052
SAIL,2963
SAILIFE,27839
SAMMAANCAP,30125
SAPPHIRE,6718
SARDAEN,17758
SAREGAMA,4892
SBFC,18026
SBICARD,17971
SBILIFE,21808
SBIN,3045
SCHAEFFLER,1011
SCHNEIDER,31234
SCI,3048
SHREECEM,3103
SHRIRAMFIN,4306
SHYAMMETL,4693
SIEMENS,3150
SIGNATURE,18743
SJVN,18883
SOBHA,13826
SOLARINDS,13332
SONACOMS,4684
SONATSOFTW,6596
SPLPETRO,9617
SRF,3273
STARHEALTH,7083
SUMICHEM,17105
SUNDARMFIN,3339
SUNPHARMA,3351
SUNTV,13404
SUPREMEIND,3363
SUZLON,12018
SWANCORP,27095
SWIGGY,27066
SYNGENE,10243
SYRMA,10793
TARIL,15174
TATACAP,759265
TATACHEM,3405
TATACOMM,3721
TATACONSUM,3432
TATAELXSI,3411
TATAINVEST,1621
TATAPOWER,3426
TATASTEEL,3499
TATATECH,20293
TBOTEK,23740
TCS,11536
