symbol,security_id
CEMPRO,5622
CENTRALBK,14894
CESC,628
CGCL,20329
CGPOWER,760
CHALET,8546
CHAMBLFERT,637
CHENNPETRO,2049
CHOICEIN,8866
CHOLAFIN,685
CHOLAHLDNG,21740
CIEINDIA,14937
CIPLA,694
CLEAN,5049
COALINDIA,20374
COCHINSHIP,21508
COFORGE,11543
COHANCE,17945
COLPAL,15141
CONCOR,4749
CONCORDBIO,18060
COROMANDEL,739
CPPLUS,758858
CRAFTSMAN,2854
CREDITACC,4421
CRISIL,757
CROMPTON,17094
CUB,5701
CUMMINSIND,1901
CYIENT,5748
DABUR,772
DALBHARAT,8075
DATAPATTNS,7358
DCMSHRIRAM,811
DEEPAKFERT,827
DEEPAKNTR,19943
DELHIVERY,9599
DEVYANI,5373
DIVISLAB,10940
DIXON,21690
DLF,14732
DMART,19913
DOMS,20551
DRREDDY,881
ECLERX,15179
EICHERMOT,910
EIDPARRY,916
EIHOTEL,919
ELECON,13643
ELGIEQUIP,937
