symbol,security_id
HDFCLIFE,467
HEG,1336
HEROMOTOCO,1348
HEXT,29666
HFCL,21951
HINDALCO,1363
HINDCOPPER,17939
HINDPETRO,1406
HINDUNILVR,1394
HINDZINC,1424
HOMEFIRST,2056
HONASA,19813
HONAUT,3417
HSCL,14334
HUDCO,20825
HYUNDAI,25844
ICICIAMC,760407
ICICIBANK,4963
ICICIGI,21770
ICICIPRULI,18652
IDBI,1476
IDEA,14366
IDFCFIRSTB,11184
IEX,220
IFCI,1491
IGIL,28378
IGL,11262
IIFL,11809
IKS,28125
INDGN,23693
INDHOTEL,1512
INDIACEM,1515
INDIAMART,10726
INDIANB,14309
INDIGO,11195
INDUSINDBK,5258
INDUSTOWER,29135
INFY,1594
INOXWIND,7852
INTELLECT,5926
IOB,9348
IOC,1624
IPCALAB,1633
IRB,15313
IRCON,4986
IRCTC,13611
IREDA,20261
IRFC,2029
ITC,1660
ITCHOTELS,29251
