symbol,security_id
EMAMILTD,13517
EMCURE,24398
EMMVEE,759728
ENDURANCE,18822
ENGINERSIN,4907
ENRIN,756871
ERIS,21154
ESCORTS,958
ETERNAL,5097
EXIDEIND,676
FACT,1008
FEDERALBNK,1023
FINCABLES,1038
FIRSTCRY,24814
FIVESTAR,12032
FLUOROCHEM,13750
FORCEMOT,11573
FORTIS,14592
FSL,14304
GABRIEL,1085
GAIL,4717
GALLANTT,13337
GESHIP,13776
GICRE,277
GILLETTE,1576
GLAND,1186
GLAXO,1153
GLENMARK,7406
GMDCLTD,5204
GMRAIRPORT,13528
GODFRYPHLP,1181
GODIGIT,23799
GODREJCP,10099
GODREJIND,10925
GODREJPROP,17875
GPIL,13409
GRANULES,11872
GRAPHITE,592
GRASIM,1232
GRAVITA,20534
GROWW,759806
GRSE,5475
GVT&D,16783
HAL,2303
HAVELLS,9819
HBLENGINE,13966
HCLTECH,7229
HDBFS,757772
HDFCAMC,4244
HDFCBANK,1333
