symbol,security_id
NYKAA,6545
OBEROIRLTY,20242
OFSS,10738
OIL,17438
OLAELEC,24777
OLECTRA,10637
ONESOURCE,29224
ONGC,2475
PAGEIND,14413
PARADEEP,9741
PATANJALI,17029
PAYTM,6705
PCBL,2649
PERSISTENT,18365
PETRONET,11351
PFC,14299
PFIZER,2643
PGEL,25358
PHOENIXLTD,14552
PIDILITIND,2664
PIIND,24184
PINELABS,759820
PIRAMALFIN,759551
PNB,10666
PNBHOUSING,18908
POLICYBZR,6656
POLYCAB,9590
POLYMED,25718
POONAWALLA,11403
POWERGRID,14977
POWERINDIA,18457
PPLPHARMA,11571
PREMIERENE,25049
PRESTIGE,20302
PTCIL,16682
PVRINOX,13147
PWL,759723
RADICO,10990
RAILTEL,2431
RAINBOW,9408
RAMCOCEM,2043
RBLBANK,18391
RECLTD,15355
REDINGTON,14255
RELIANCE,2885
RHIM,31163
RITES,3761
RKFORGE,11411
RPOWER,15259
RRKABEL,18566
